"","X.1","X","df","p","eta","size"
"1",1,1,16,10,0.1,0.39
"2",2,2,14,10,0.2,0.39
"3",3,3,13,10,0.3,0.39
"4",4,4,12,10,0.4,0.39
"5",5,5,11.5,10,0.5,0.39
"6",6,6,40,10,0.1,0.25
"7",7,7,38,10,0.2,0.25
"8",8,8,37,10,0.3,0.25
"9",9,9,36,10,0.4,0.25
"10",10,10,35,10,0.5,0.25
"11",11,11,13,20,0.1,0.39
"12",12,12,10,20,0.2,0.39
"13",13,13,7,20,0.3,0.39
"14",14,14,5,20,0.4,0.39
"15",15,15,3,20,0.5,0.39
"16",16,16,36,20,0.1,0.25
"17",17,17,32,20,0.2,0.25
"18",18,18,30,20,0.3,0.25
"19",19,19,27,20,0.4,0.25
"20",20,20,25,20,0.5,0.25
